name,year,on,tech,area,c_area,power,c_power,freq,gops,c_gops,gsyops,c_gsyops,power_eff,c_power_eff,area_eff,c_area_eff,gsyops_eff,c_gsyops_eff,area_eff_sy,c_area_eff_sy,precision,inference,training,acc_target,company,link
Eyeriss v2,2019,simulated,65,,False,476.25,True,200.0,153.6,False,,False,578.3,False,,False,,False,,False,Bit 8,True,False,CNN,,https://eyeriss.mit.edu/
,2019,FPGA,,,False,1770.0,False,160.0,40.96,False,,False,23.14,False,,False,,False,,False,FxP 8,True,False,CNN,,https://ieeexplore.ieee.org/abstract/document/8875030
,2019,FPGA,40,2.16,False,68.0,False,50.0,3.2,True,,False,47.059,True,1.481,True,,False,,False,Bit 8,True,False,CNN,,https://ieeexplore.ieee.org/abstract/document/9056941
SparTen,2019,simulated,45,0.766,False,118.3,False,800.0,25.6,True,,False,216.399,True,33.42,True,,False,,False,,True,False,CNN,,https://dl.acm.org/doi/10.1145/3352460.3358291
DT-CNN,2019,simulated,65,6.8,False,196.0,False,200.0,639.7,False,,False,3260.0,False,94.1,False,,False,,False,Bit 8,True,False,CNN; GAN,,https://ieeexplore.ieee.org/document/8702243
Dante,2019,simulated,14,2.3,False,,False,330.0,,False,,False,,False,,False,,False,,False,,True,False,DNN,,https://ieeexplore.ieee.org/document/8675205
TIE,2019,simulated,28,1.744,False,154.8,False,1000.0,7640.0,False,,False,72900.0,False,43807.339,True,,False,,False,Bit 16,True,False,DNN,,https://dl.acm.org/doi/10.1145/3307650.3322258
MnnFast,2019,FPGA,28,,False,,False,1000.0,120.0,False,,False,,False,,False,,False,,False,,True,,Transformer,,https://dl.acm.org/doi/10.1145/3307650.3322214
ExTensor,2019,simulated,32,98.89,False,,False,1000.0,128.0,False,,False,,False,,False,,False,,False,FP 64,True,,SpGEMM,,https://dl.acm.org/doi/10.1145/3352460.3358275
WAX,2019,simulated,28,0.326,False,1.55,True,200.0,26.23,True,,False,16938.5,True,206.0,False,,False,,False,Bit 8,True,False,CNN,,https://dl.acm.org/doi/10.1145/3352460.3358316
CGNet-NM,2019,simulated,28,3.859,False,159.5,False,500.0,144.0,True,,False,902.83,True,37.315,True,,False,,False,Bit 8,True,False,CNN,,https://dl.acm.org/doi/abs/10.1145/3352460.3358283
Tianjic,2019,ASIC,28,14.44,False,950.0,False,300.0,1214.1,True,616.55,True,1278.0,False,84.079,True,649.0,False,42.697368,True,INT 1/8,True,False,SNN; ANN,,https://www.nature.com/articles/s41586-019-1424-8
MASR,2019,simulated,16,4.7,False,375.0,False,1000.0,544.0,True,,False,1051.425,True,194.63,True,,False,,False,FP 10,True,True,RNN,,https://ieeexplore.ieee.org/abstract/document/8891617
,2019,ASIC,28,10.92,False,154.025,False,240.0,604.7,False,,False,2970.0,False,55.375,True,,False,,False,Bit 8,True,False,CNN,,https://ieeexplore.ieee.org/abstract/document/8662397
NPU'19,2019,ASIC,8,5.5,False,796.0,False,933.0,4423.5,False,,False,8000.0,False,804.273,True,,False,,False,Bit 8/16,True,False,DNN; CNN,Samsung,https://ieeexplore.ieee.org/abstract/document/8662476
LNPU,2019,ASIC,45,16.0,False,367.0,False,200.0,2482.76,True,,False,3382.5,True,77.586,True,,False,,False,FP 8/16,True,True,CNN; LSTM; RNN,,https://ieeexplore.ieee.org/abstract/document/8662302
eCNN,2019,simulated,40,55.23,False,6950.0,False,250.0,41000.0,False,,False,5899.28,False,742.35,False,,False,,False,,True,False,CNN,,https://dl.acm.org/doi/10.1145/3352460.3358263
Lightspeeur 5801S,2019,ASIC,28,36.0,False,224.0,False,200.0,2800.0,False,,False,12600.0,False,77.78,True,,False,,False,,True,False,CNN,Gyrfalcon Technology Inc.,https://www.gyrfalcontech.ai/solutions/lightspeeur-5801
Lightspeeur 2801S,2019,ASIC,,49.0,False,600.0,False,100.0,5600.0,False,,False,9300.0,False,114.286,True,,False,,False,,True,False,CNN,Gyrfalcon Technology Inc.,https://www.gyrfalcontech.ai/solutions/2801s/
Hailo-8,2019,ASIC,,225.0,False,2500.0,False,,26000.0,False,,False,10400.0,True,115.556,True,,False,,False,Bit 8/16,True,False,DNN,Hailo,https://hailo.ai/product-hailo/hailo-8
KL520,2019,ASIC,,,False,575.0,True,300.0,345.0,False,,False,600.0,False,,False,,False,,False,Bit 8,True,,LSTM; CNN,Kneron,https://www.kneron.com/solutions/soc/
Jetson Nano,2019,ASIC,,3150.0,False,7500.0,False,,250.0,False,,False,37.5,True,0.079,True,,False,,False,FP 16,True,True,DNN,NVIDIA,https://www.nvidia.com/en-us/autonomous-machines/embedded-systems/jetson-nano/product-development/
JPEG-ACT,2020,simulated,,1.48,False,1360.0,False,1455.0,,False,,False,,False,,False,,False,,False,INT 8| FP 32,True,True,CNN,,https://ieeexplore.ieee.org/abstract/document/9138963
TIMELY,2020,simulated,65,91.0,False,0.409,True,40.0,4.24,True,,False,21000.0,False,0.047,True,,False,,False,Bit 8/16,True,False,DNN; CNN,,https://ieeexplore.ieee.org/abstract/document/9138916
RecNMP,2020,simulated,40,0.54,False,169.25,False,240.0,,False,,False,,False,,False,,False,,False,,True,,PR,,https://ieeexplore.ieee.org/abstract/document/9138955
uGEMM,2020,simulated,45,0.6,False,165.0,False,400.0,102.4,True,,False,670.476,True,185.563,True,,False,,False,Bit 8,True,,GEMM,,https://ieeexplore.ieee.org/abstract/document/9139000
SpinalFlow,2020,simulated,28,2.09,False,162.4,False,200.0,,False,25.6,True,,False,,False,157.635,True,31.96,True,Bit 4/8,True,False,SNN,,https://ieeexplore.ieee.org/document/9138926
NEBULA,2020,simulated,32,86.729,False,5200.0,False,1200.0,,False,,False,,False,,False,,False,,False,Bit 4/8,True,False,SNN; ANN,,https://ieeexplore.ieee.org/abstract/document/9138925
XpulpNN,2020,simulated,22,0.998,False,100.0,False,250.0,5.0,False,,False,550.0,False,55.0,True,,False,,False,Bit 2/4/8/16,True,False,DNN; CNN,,https://ieeexplore.ieee.org/abstract/document/9116529
YOSO,2020,simulated,22,,False,0.734,False,0.12,,False,1.29024,True,,False,,False,1757.82016,True,,False,Bit 8,True,False,SNN,,https://arxiv.org/abs/2006.09982
DRQ,2020,simulated,45,0.32,False,71.96,True,500.0,1584.0,True,,False,22160.19,True,4950.0,True,,False,,False,INT 4/8,True,False,DNN,,https://ieeexplore.ieee.org/abstract/document/9138970
